Categorie: Alle categorieën

Maand,stikstof: (Nederland),stikstofcrisis: (Nederland),stikstofbeleid: (Nederland),stikstofprobleem: (Nederland),boerenprotest: (Nederland)
2015-01,6,0,0,0,0
2015-02,6,0,0,0,0
2015-03,7,0,0,0,0
2015-04,7,0,0,0,0
2015-05,5,0,<1,0,0
2015-06,6,0,0,0,0
2015-07,5,0,0,0,1
2015-08,4,0,0,0,<1
2015-09,7,0,0,0,1
2015-10,6,0,0,0,0
2015-11,5,0,0,0,0
2015-12,4,0,0,0,0
2016-01,5,0,0,0,0
2016-02,5,0,0,0,0
2016-03,6,0,0,0,0
2016-04,5,0,0,0,0
2016-05,6,0,0,0,0
2016-06,6,0,0,0,0
2016-07,5,0,0,0,0
2016-08,4,0,0,0,0
2016-09,6,0,0,0,0
2016-10,5,0,0,0,0
2016-11,6,0,0,0,0
2016-12,5,0,0,0,0
2017-01,5,0,0,0,0
2017-02,6,0,0,0,0
2017-03,6,0,0,0,0
2017-04,5,0,0,0,0
2017-05,6,0,0,0,0
2017-06,6,0,0,0,0
2017-07,5,0,0,0,0
2017-08,4,0,0,0,0
2017-09,6,0,0,0,0
2017-10,5,0,0,0,0
2017-11,6,0,0,0,0
2017-12,5,0,0,0,0
2018-01,5,0,0,0,0
2018-02,5,0,0,0,0
2018-03,6,0,0,0,0
2018-04,6,0,0,0,0
2018-05,5,0,0,0,0
2018-06,6,0,0,0,0
2018-07,5,0,0,0,0
2018-08,4,0,0,0,0
2018-09,6,0,0,0,0
2018-10,6,0,0,0,0
2018-11,6,0,0,0,0
2018-12,4,0,0,0,0
2019-01,5,0,0,0,0
2019-02,7,0,0,0,0
2019-03,5,0,0,0,0
2019-04,6,0,0,0,0
2019-05,6,0,0,0,0
2019-06,11,0,<1,0,0
2019-07,10,0,0,0,0
2019-08,13,0,0,0,0
2019-09,59,0,1,6,2
2019-10,100,4,3,3,63
2019-11,57,3,2,3,5
2019-12,24,1,1,1,23
2020-01,19,1,1,1,2
2020-02,22,1,1,1,10
2020-03,17,1,<1,1,1
2020-04,13,1,<1,<1,<1
2020-05,10,<1,<1,<1,<1
2020-06,14,1,<1,<1,<1
2020-07,10,<1,<1,0,18
2020-08,8,0,0,0,1
2020-09,9,<1,<1,0,<1
2020-10,9,<1,<1,<1,1
2020-11,10,0,<1,<1,3
2020-12,9,<1,0,0,3
2021-01,9,<1,0,0,1
2021-02,9,0,0,0,<1
2021-03,12,<1,<1,<1,<1
2021-04,9,0,<1,0,<1
2021-05,9,0,0,0,<1
2021-06,9,<1,0,0,<1
2021-07,10,<1,<1,0,6
2021-08,7,0,0,0,<1
2021-09,11,<1,0,<1,<1
2021-10,8,<1,0,<1,<1
2021-11,9,0,0,0,<1
2021-12,9,<1,0,0,1
2022-01,13,<1,0,<1,<1
2022-02,12,<1,<1,<1,0
2022-03,12,<1,<1,<1,<1
2022-04,15,<1,0,<1,<1
2022-05,12,<1,0,<1,<1
2022-06,97,2,4,5,74
2022-07,52,1,4,2,99
2022-08,34,1,1,2,10
2022-09,24,1,<1,1,3
2022-10,23,1,1,1,2
2022-11,29,1,<1,1,2
2022-12,16,1,<1,<1,2
2023-01,14,1,<1,<1,1
2023-02,17,1,<1,<1,2
2023-03,37,4,3,2,7
2023-04,32,1,1,1,<1
2023-05,16,1,<1,<1,<1
2023-06,18,1,<1,<1,11
2023-07,12,<1,<1,<1,1
2023-08,12,<1,0,0,<1
2023-09,17,1,<1,<1,<1
2023-10,12,1,0,<1,<1
2023-11,16,1,1,<1,<1
2023-12,9,<1,0,<1,1
2024-01,12,<1,<1,<1,5
2024-02,11,<1,<1,<1,16
2024-03,10,<1,0,0,1
2024-04,11,<1,0,<1,1
2024-05,10,<1,<1,0,<1
2024-06,11,0,0,0,1
2024-07,9,0,0,0,0
2024-08,7,<1,0,0,0
2024-09,13,<1,<1,<1,<1
2024-10,10,<1,0,0,<1
2024-11,10,<1,<1,0,<1
2024-12,9,<1,0,0,<1
2025-01,23,<1,<1,<1,<1
2025-02,18,<1,1,0,<1
2025-03,14,<1,<1,<1,<1
2025-04,15,<1,<1,0,0
2025-05,12,<1,0,0,<1
2025-06,13,<1,<1,0,0
2025-07,10,0,<1,0,<1
2025-08,9,0,0,0,0
2025-09,11,<1,<1,<1,<1
